,tweet
757,"@CueyMcCuerson @NHSEnglandLDN @IanMcKellen I can't even follow your nonsense anymore...first you called the vaccinations fake, then you called them dangerous, now you're blaming the hospital for choosing the wrong person to plop down in front of a cam...

Methinks you're just doing whatever to troll and annoy people.
Bye."
758,"FAKE VACCINATIONS, BUT WE HAVE TO TAKE THIS POISON? https://t.co/975IrwgTaR"
759,"y'all Natzzie 
media who is everywhere are all NATZ sellouts Y'all lied to america to get Universities local and state governments to push Vaccinations wonder why? natzzies did found a new way with the Germans to attack the innocent 
MEDIA FAKES TAKING THE VACCINATIONS 
#USA #AI"
760,👀 These videos of fake #vaccinations are popping up everywhere https://t.co/BlyOgBuzI5
761,I’ve said many times that we’re living in the Truman Show. Fake vaccinations? https://t.co/glVxk6Bh5T
762,"@Rabbith16789595 @grimaud_emma @TrumpFrance Il y a plusieurs niveaux je pense : à un niveau, quand Trump parle de ""vaccins"" je pense que ce sont les arrestations... Mais je pense que cela sert aussi à montrer les problèmes de la FDA. Beaucoup de vaccinations qui ont été filmées sont fake (seringue vide, pas d'aiguille,...)"
763,"@CBS4Local It was fake, it was an indulin needle and we do not use them for vaccinations."
764,More fake covid vaccinations on healthcare workers... since we see so many fakes I hereby self identify as already vaxxed... gimme my card https://t.co/5H3SvEuqNC
765,@KFOX14 @LedfordPatti 🤔 Why are they staging fake vaccinations for the media?
766,Somebody needs to start a video montage of all these fake vaccinations ... reckon we would have a decent one already ! 🤷🏻‍♂️ 💉 https://t.co/Es2spfGV1Q
767,"So we get to see fake vaccinations and whenever there's a real one, this happens 👇🏼👇🏼👇🏼 #Pfizervaccine #CovidVaccine #donottakethevaccine #BillGatesIsNotADoctor https://t.co/eWGtkdi9G9"
768,"Do You See What I See? https://t.co/ZpvbstJzLF via @YouTube it seems a lot of senior doctors/politicians may be having fake vaccinations, what they scared of?🤔"
769,"I read from a #Canadian source that the plan was for fake vaccinations to take place w #healthcareworkers 1st, then, when no reactions occurred people would feel they were safe. I still hope that isn't true. But I'm seeing this playing out. Lots of videos. #CovidVaccines #Canada https://t.co/cDwNGapAGN"
770,@Natalia01Mateo @JohnnyHaig Wow- exactly how many fake vaccinations are there going on
771,"What are the pro #Vaccine ppl going to say about this then?

Will they STILL be blinded to the scam??

Look closely and You’ll see that the public vaccinations are FAKE to trick ppl into trusting the poison they call a vaccine

#COVIDー19 #BioNTech #svpol 
https://t.co/LxHBr4LXVx"
772,#fakevaccinations https://t.co/h75baymj3v
773,#fakevaccinations https://t.co/whmQeCJSGR
774,"This is becoming laughable now.

So many vids and pics of fake vaccinations....

🤔 https://t.co/rQjShsyfLc"
775,Why are there so many of these fake vaccinations? Surely if it's safe and effective they would just use the real thing? https://t.co/ZoqmExkvYT
776,Twitter to Ban Fake Information regarding Covid-19 Vaccinations https://t.co/2SedClaS7V
777,@HotepJesus Anybody that knows anything about giving vaccinations 💉 would see that THIS IS FAKE !!! NO VAC GIVEN HERE !!!! Such BS!!! And shame on them for purposely trying to deceive “ we the people”  !!!!😡😡😡
778,"@RealOmarNavarro @bfraser747 Shrug. #VotesDontCount any more. @SCOTUSblog puts partisanship over rule of law, no day in court

@GOP doesn't fight to make elections fair &amp; transparent &amp; @senatemajldr said it's too hard politically to act.

Media will ignore it, then show staged, fake vaccinations."
779,"The nurse is being prepped for the vaccine, but the syringe appears to be empty &amp; plunger has already been depressed.

Once the needle appears to go into his arm, the person giving the vaccine does not appear to push the plunger down

#fakevaccinations

https://t.co/NnxGS4Ppvz"
780,So. What’s up with all those fake vaccinations videos then hmmm?
781,@CBS4Local Hahahahaha.   This is all a giant fucking hoax.  Take a bunch of videos of fake vaccinations and show them everywhere and hope people don’t notice.  Save it..
782,"https://t.co/METXpY5xyO

Just when you think it ain't going to get any worse watch a nurse pass out right after getting vaccinations, and then watch the fake injections of other doctors and nurses nobody else going to take that vaccine today?"
783,Why do I keep seeing these videos of fake vaccinations?? What is the government trying to hide? https://t.co/qt3aqBTsdt
784,@CanAditude What’s with all these fake vaccinations??
785,"This is what I expect would happen to all the brave politicos who offer to be the first to receive the vaccinations! Fake injections, placebos, etc.  I think I will have someone film my injection just like this in case someone wants proof of vaccination! No fetal DNA jabs for me! https://t.co/1DkUnGugyn"
786,"@108_Performance @matt_raley I’m just amazed at all of the doctors that are in kahoots with the main stream media, and taking fake vaccinations and filling their hospitals with fake patients to trick us. Bezos, Gates, Soros and the medical community all playing us like puppets! https://t.co/wGSGa9DSQW"
787,"@ashleykingsley @KnightroGlisten Frankly it's difficult to draw other conclusions when people spread things like this as complete dis-information.  Why try to make people fear vaccinations with a bogus anecdote like this?  I don't care if you don't want to take it, but don't spread fake or dishonest propaganda."
788,@B2Bailey @peanutplus7 @Ssshlyn @CandiceCodyMD @JPCodyMD @VHC_Hospital Sooo many pictures of fake vaccinations..
789,@ConsumerSOS Sean i feel like you should lead the way to report over these outlets showing fake vaccinations on news reports and reports like how the ceo of the company himself hasnt taken it. Just some intuitive journalism on the truth. Not a vaccine hater just feel like theres a money grab
790,WTF IS GOING ON???  NOW WE DOING FAKE VACCINATIONS??? ITS CLEARLY EMPTY!!! https://t.co/deatQPtSFx
791,"Of all the things that are apparently 'proof' of some weird covid hoax /fake vaccinations / I don't even know what they're trying to prove, the 'where did the needle go' batshittery wins.

Me: 'hmm, do retractable needles exist? That would be pretty cool! *googles* YES THEY DO'"
792,More #lies and #fakevaccinations https://t.co/wIUDIvwgB0
793,"@o_rips It's useless, Spiro. Those believing this crap, fake vaccinations on video, are too brainwashed by MSM to actually see it's all fake. They don't see a respectable syringe nor an injection never administered. They continue regurgitating
""conspiracy"", to live a utopian fantasy."
794,"Ceux qui criaient que le virus était fake crient maintenant que les vaccinations sont fakes.

Getalaaaiife colice."
795,@HotepJesus Fake vaccinations by medical drs and nurses...#DONTVACCINATE
796,"EXACT
Why so many FAKE vaccinations ? https://t.co/hJTdo6zJF1"
797,That’s not gonna do anything to show me the vaccine is safe especially after seeing all of the fake vaccinations going on https://t.co/OK0LdeE2c7
798,Fake vaccinations now? They aren't even trying anymore. https://t.co/Ii5N9i8zbk
799,"Another Fake Vaccine photo ... 
cap on the needle, nurse administering needle not holding the arm ...

Feel free to comment on the 2 other things that shows this is fake.

Question: Why so many FAKE vaccinations published? https://t.co/lMYuLnkTBR"
800,"Watch ""Joe Imbriano warned us in 2018 60GHz blocks Oxygen uptake=fake virus=kill grid= forced vaccinations"" on YouTube https://t.co/rVWrbIYU4W"
801,"@mikewolfpack100 Watch the black seal on the plunger..it never moves. He uncaps it, pushes the plunger just ever so slightly to eject air then jabs him with the needle making it look like he's giving a shot, but it's just a needle stick!! WHY are they showing these FAKE VACCINATIONS?"
802,@nytimes watch out for the fake vaccinations which is being posted on social media
803,@LegendaryEnergy Fake televised vaccinations
804,"@SoulessSamurai @HotepJesus 🤣🤣🤣🤣
The fake vaccinations continue to get the public to take the snake oil. I've seen over 20 photos and videos of fake or no injections in the past 2 days. I'm starting to think it doesn't matter who wins the election. Either way we will be forced to take the snake oil! https://t.co/1pO0GL8ziz"
805,@CBS4Local @MetcalfeMegan Seems to be a lot of the fake vaccinations happening 😉
806,Why are they lying and fake vaccinations taking place all over the world  💉💉💉 https://t.co/2I1IIGzdWZ
807,More fake vaccinations...... https://t.co/YftTRwXScE
808,"The syringe is empty and doesn’t move as he fakes the injection.

What does this tell everyone if vaccinations are being FAKED👇🏻 https://t.co/oksWqPRRVv"
809,@Bee42681881 @Julie229404878 @simondolan @CandiceCodyMD That’s crazy isn’t it! These vaccinations come with warnings and they’re not tested enough yet! I can’t think why anyone would suggest it and show a fake pic too! https://t.co/i4uA3CqASM
810,@LupeFiasco How do you feel about the failed fake vaccinations used to initially flush out Osama Bin Laden? *Side note* just learned about this today.
811,"@ProfDaveAndress We'll hit the target (though it will be injections, not completed vaccinations after all) once, and then they'll fake or conceal the figures from that point onwards while actually achieving about 2/3 of the target. And lie, lie, lie."
812,"There are ridiculous videos circulating claiming to show fake vaccinations where the needle disappears... er no. Possibly you haven't been vaccinated in a while? This is normal:

VanishPoint Syringe
https://t.co/i8gzVMjUSz"
813,"2 Alaska Health Workers Got Emergency Treatment After Receiving Pfizer’s Vaccine https://t.co/00D16RnRTa 

HOW MANY OTHERS OF THE 10,000'S VACCINATIONS PUSH, THAT FAKE NEWS OUTLETS, WON'T ALLOW TO BE REPORTED ARE OUT THERE????

FAKE NEWS MEDIA AFTERALL CONTROL THE MESSAGE!"
814,Public vaccinations are all fake. The syringes are either empty or not the same vaccination.
815,Fake vaccinations for TV lmao I am never letting them inject this devils work into my body https://t.co/z2v3bfV9ov
816,@Timcast Why all the fake vaccinations?
817,@WSMV Alot of hospitals are doing fake vaccinations with nothing in syringe https://t.co/kidhW6bGoi
818,Why all the fake vaccinations? Why are they not taking it? Wake the fuck up out there! You are being lied to over and over again! https://t.co/FvjdrjeNG9
819,"Speculation Over Fake Vaccinations Swirl as Video Shows Empty Syringe, Retractable Needle Used on Healthcare Workers - https://t.co/IzIOGSEFYA"
820,@Dr_Focki If it's even real. So many fake vaccinations floating around. Marketing.
821,"@vetpatriot17 This is the fourth video I’ve seen so far of fake vaccinations. One they had no needle and didn’t even touch the syringe to bare skin, but to a shirt sleeve. Come on man. Stop.   No way I take that injection"
822,They're faking these public vaccinations and they can't even fake it well! 🤦🏻‍♂️ https://t.co/U1dU4XZE2P
823,@TheQuartering Multiple obviously fake vaccinations being filmed.... wtf is going on
824,"it's not possible to tell if the syringe is empty, but weirdly he doesn't appear to depress the piston to any significant degree

I mean if you were trying to fake vaccinations you'd just squirt in a placebo, wouldn't you? Why do something which doesn't look real? https://t.co/SHmfUc7X1u"
825,"This kinda stuff just cements my opinion that the US government is not covering up aliens, they cant even cover up fake vaccinations... My god what a time to be alive https://t.co/TJxBFo9S6U"
826,"@SaltyCracker9 @YouTube About to go watch this now, so don't know if you put one together yet.. but we need a compilation video of all the doctors getting fake vaccinations, Salty! They won't take it themselves, and neither will I"
827,"Fake vaccination thread. 
Here's the links I've found to televised vaccinations that appear to be fake."
828,Please stop filming fake vaccinations.  It’s getting old. https://t.co/TaskhHB5m6
829,"@NathanLerner Wtf is wrong with you, this is clearly an empty syringe. Nothing about this is antivax except the ""professionals"" putting on a show with fake vaccinations."
830,@adamfarren2 Why would Donald Trump promote and allow fake vaccinations dummy?
831,"Twitter bans harmful false claims about #COVID19 vaccinations 
With all fake news spreading around i see the bird point. But I hope algorithm doesn't peck out Everything. 
 https://t.co/MbIgPaogF9"
832,"All these fake vaccinations going on really inspires confidence in this new vaccine.

Sarcasm."
833,These crisis actors doing these fake ass vaccinations are about to drive me fucking insane.
834,They are really building confidence with fake vaccinations. https://t.co/gqSFX3LLmc
835,"The latest alert from our Fraud Team covers Fake NHS IDs &amp; theft of supplies, risks of fake patient fraud around COVID-19 vaccinations &amp; electronic skimming frauds when online shopping.

Read more https://t.co/M6zeLw54Jp

#NHS #AntiFraud https://t.co/f7g6eC1Rej"
836,"More fake vaccinations on TV. But don't worry everyone, they're proving they're safe 🤦‍♂️
#WhereDidTheNeedleDisappearTo?
https://t.co/1aNHrmsR7t"
837,"@CreesSean @AmandaL005 The Queensland Premier faked two injections on TV.  When the public didn’t stop calling her on it, she had to admit it ,.. so yeah, they DO fake vaccinations on live tv. They’ll do whatever it takes to convince you."
838,"#Twitter has announced to remove tweets making false or misleading claims about #COVID19 vaccinations from next week &amp; label such fake claims from early next year.

Starting next week, @Twitter will prioritize the removal of the most harmful misleading information. https://t.co/mjGzVugUDD"
839,@Mrtdogg @TDelyfer Fake vaccinations? Is this the reason masks are still needed after an COVID shot? GRR!
840,"@lbergkamp Agreed, However in the case of vaccinations I find that I am generally a bit more on the side of protecting against fake-news. It is one of the few exceptions to my free speech extremism. 
The efficacy of both vaccinations AND the susceptibility to fear of groups has been shown."
841,🚨Don’t believe the hype about all of these televised #vaccinations! They’re as fake as the election 😑 https://t.co/sXbF1z2604
842,#Twitter has announced to remove tweets making false or misleading claims about #COVID19 vaccinations from next week and label such fake claims from early next year. https://t.co/RlmQ30HnNN
843,"#Technology: #Twitter has announced to remove tweets making false or misleading claims about Covid-19 vaccinations from next week and label such fake claims from early next year. #COVID19 #Coronavirus #CoronaVacine @TwitterIndia 
https://t.co/sPXvoJ9753"
844,@newsmax I wonder if the needle will collapse like the video I just watched .. yah know .. like the children’s toy syringes .. like fake vaccinations
845,"@SybrinaFulton 2. AIDS is the result of the HIV virus hijacking cells at the mitochondrial level and reproducing a fake version a non functional version of that cell. Vaccinations are merely a weakened form of the virus or bacteria, vaccinating someone does not require altering their cell growt"
846,@Twitter has announced to remove tweets making false or misleading claims about #COVID19 vaccinations from next week and label such fake claims from early next year. https://t.co/gilsBujuo8
847,And more fake vaccinations. https://t.co/o3xyLPdQxP
848,"@armann1671 Australia isn't starting  vaccinations until March. Fake.  
https://t.co/ITizySeUQk"
849,"@MoonDragon1212 @waterleat @epigwhisp @GodWins63 Take your time to be convinced. Not sure about the other fake vaccinations you are speaking of. Do you have other documentation?

I suspect I haven’t convinced you, but I have given you a plausible explanation for something apparent to you on a video"
850,"@KeytarCatholic @AbbyJohnson 2/2 Thank you Abby! @AbbyJohnson 
Keep up the work, whilst those who are in positions of power &amp; moral authority cower before public opinion, lies, cowardice, &amp; the fake news media. There are sinful connections between abortion and these new vaccinations. 
God bless! Ave Maria!"
851,"When you think about it, why would a fake nurse remove the cap from the needle to give fake vaccinations!!! More Kabuki theater!!! Morons!!!"
852,"@OregonGovBrown and @OHSUNews keep using pics of fake Covid vaccinations. Note the lack of gloves and capped syringe. Yikes!

@Oregonian @LarsLarsonShow @PJMedia_com @MrAndyNgo @catturd2 @SecPompeo @kayleighmcenany @WSJ @realDonaldTrump @CodeMonkeyZ @iheartmindy  @TheJusticeDept https://t.co/w8yh16g3W0 https://t.co/d0YRxfQYkb"
853,@TomTuohy1 @unspinthespin I have seen so much of these fake vaccinations. What the heck is going on?
854,"@OutspokenlyNW @PatsFight @DeplorableMadam there are ones that you push further instead of pulling back on the plunger, but based on the hollywood mistakes here I'm guessing these are fake vaccinations anyways

https://t.co/tCCNBfPptw"
855,Fam they fake giving the televised vaccinations?😂😂😂
856,@nadhimzahawi Are you including the vaccinations with fake syringes like the one administered to an NHS worker? I saw the video - shameful and desperate!
857,@VeteransAlways_ @777Nicky @realDonaldTrump @DanScavino Not only that - there was no cottonwool swab used to absorb the blood that comes out soon as the needle is withdrawn! - 100% fake and most of these public vaccinations are fake!
858,"@MarkDice I wouldn't be surprised if the Dems and the GOP conduct fake vaccinations of themselves using a water filled vaccine vial to fool the public into taking the vaccine.  These swamp rats lie all the time, which is why voting for either party is just a choice between two evils."
859,"@Fred52093826
This is kind of worrying as this is now the second or third video I've seen where it looks like they are giving fake vaccinations, why?

Because it's only intended for the general population. The Muslim population are now calling it Haram (forbidden)"
860,Can someone please make a collage of all the fake vaccinations we’ve seen? Would send out a powerful message. Thnx :-) @Project_Veritas @Forecast432hz @WakeyQ @NarQieTweets @Drestradamus
861,Yen mouille de partout  de c’est fake vaccinations télévisées la; réveiller vous chères endormis. https://t.co/zIRsfXIjQu
862,"@karma_im_yours I didn’t say they were about intelligence, I’m just simply putting out my frustrations about ppl who say either COVID is fake or the vaccination is dangerous when they have no knowledge about how disease/vaccinations work."
863,"@JohnNosta To drive the black market economy in vaccinations or in fake vaccine passports?  For a lot of us, we are at in the last bin of vaccinations.  The relatively healthy, non-essential workers who most likely won't be on the list until summer."
864,@swilson1503 @FunTimeFred1 @Teqmock Have given hundreds of flu vaccinations in my time and this is so absolutely fake it’s frightening!
865,@Lrihendry Watch the vaccination videos You'll see they are fake one video shows a girl getting a vaccination with no needle the other vaccinations they didn't even take the cap off the needle it's all fake
866,"@SSG_PAIN People are getting vaccinations, wife works in healthcare and had to already claim allergies not to get it. Not everything is fake. Plandemic was created we know why, solution for masses is give them vaccine, Trump's administration delivered, not that complicated."
867,@Teqmock Fake vaccinations !
868,"@GMB @piersmorgan @susannareid100 im gonna wait n see what happens when they come to POISON My Service Users.  Stop Believing Actors like Margaret Keenan who is an Actress who was at protest in a green coat fighting with police had longer hair  then. Fake Vaccinations Then tell us to Have them,Also Killing Elders https://t.co/8BQttkfyxR"
869,@VincentCrypt46 perhaps our fiat system which is fake is being replaced by using the actual currency that the fiat system is based on - us - using our dna. perhaps vaccinations are how you have any actual worth as a citizen in their upgrades fake system - tied to our dna we become fused 2 it
870,"#COVID19 #coronamaatregelen #vaccinations #nietmijnregering #Lockdownnl #fakenews

Oproep: 'Laat met je profielfoto zien dat je je laat vaccineren' luid het fake rtl-news...kijk hoe zijn profielfoto er nu uitziet
https://t.co/GZNiGD55Jl https://t.co/CLqN5nmVZl"
871,@ABCWorldNews @mattgutmanABC I don’t believe this plandenic B.S The next step is to use the fake news to force mandatory vaccinations on us.
872,@RealMattCouch 3 Fake TELEVISED vaccinations https://t.co/d4ekty1xu1
873,@DiblasioRobert @MARCANDERSONNWO 3 fake televised Covid vaccinations https://t.co/LFzeEQK2RM
874,"@JoeSilverman7 I tend to think it's the latter. People who are panicked about COVID are too afraid to even think straight, and there are plenty of fake ""experts"" out there whipping up the fear of the magical mystery illness so powerful not even natural immunity or vaccinations can stop it."
875,"Wow, fake vaccinations https://t.co/qkxSyxgOlR"
876,"@Juls555 @AP Only during the trials/testing phase were some people getting placebo vaccinations—so they could confirm that it really worked for those who got the real thing vs. those who got the fake one. That’s how they determined they are 95% effective, with very few minor side effects."
877,@thehill That's fake news he's done everything he can to prevent it preventing Joe Biden from receiving the Intel only ordering a hundred million doses of vaccinations when there's at least 289 million in our country he made sure Biden got a disaster spiked cases and all
878,@Starkco1 @GovMurphy Lol they’re not his. Vaccinations being fake is a new one lol
879,"@jsolomonReports Slowed down videos on Twitter are showing that a lot of these vaccinations by higher ups are fake, can't tell with this shot though, on far arm from camera"
880,Demons 👿stand to make $trillions OFF ✅these 💉vaccinations 💉these vaccinations were made in China 🇨🇳 I don’t know what’s wrong with you 🇺🇸American people do not take Vaccinations FAKE NEWS putting out demons 👿taking vaccinations 💉their lying 🤥 https://t.co/n33GTRyVtj
881,WELL LETS SEE ALL THE FAKE CARDS COME OUT .WILL THEY INVESTIGATE IF THEY ONLY GIVE 1 MILLION VACCINATIONS YET THERE ARE 2 MILLION CARDS?SOUND FAMILIAR https://t.co/Oz8GhFCUBF
882,"The difference is obviously ridiculous crazy left-wing bullshit is given the time of day by the media, while obscure right-wing bullshit is over-zealously denounced (mandatory vaccinations, mass censorship to deal with “fake news”)."
883,"@Axarya @Markus_Soeder Yeah rite when are these arseholes going to realise that, they can stage as many fake vaccinations as they like , its still ,no thanks I'll pass 😉"
884,"The Covid-19 vaccination is free on the NHS - if you are offered it at a price, it could be fake, stolen or non-existent.

Avoid cyber threats and misleading information about vaccinations by checking official sources:

https://t.co/CZeOXlMGl5 https://t.co/H1pv0NIgGt"
885,"Michigan voters back virus vaccinations, Whitmer pandemic measures, poll finds https://t.co/lHQUzFa0tY via @detroitnews Again it goes back those polled,what county and what political demographic chosen ,statewide people hate the lockdowns,are those surveyed SB owners? Fake polls"
886,"@BreitbartLondon @EntheosShines Every instance I see of an authority or“expert” speaking of masks or vaccinations makes me see RED! This is NOT an emergency! We aren’t having significant deaths! The so-called numbers are inflated, big AF! The tests are fake!  Everything about this 🦠 is an absurd lie!!!"
887,"@GG_RMC Les anti vaccins sont dans leurs idéologies, sont persuadés qu'ils détiennent la science infuse, ils racontent des fake news comme cette info qui annonçait la mort de ces 2 femmes Anglaises au lendemain de leurs vaccinations anti covid ça s'est avéré faux."
888,@sassal0x &amp; RNA vaccinations are an exquisite technology that will help us beat this deadly virus. &amp; that Biden got more votes than Trump. A fake Office of the President Elect. Social media censorship and propaganda. News “shows.” Building Back Better. Global Reset. https://t.co/3rutDpF4DU
889,"In the news today:
• Covid-19 vaccinations begin
• Covid deaths top 300k
• Biden wins electoral college as cultists threaten, fake electors ""vote"" for Trump
• Barr quits
• Every conceivable federal agency hacked by Russia
• Mars attacks
• Dogs and cats living together"
890,@ZaidZamanHamid This seasonal vaccinations for? Flu...Employing juvenile shots in the name of ? contagious ailments...Use of polio ( spreading) drops for innocent Pakistanis...Can illiterate dajjal blue eyed fake doctor bull gate explain why educated and sane people in the west avoid most of it?
891,@tbernabeo1 @LLinWood Look for a way to fake it. Maybe a black market will rise up for faking vaccinations. I’m with you... vaccines are bad.
892,"Media and Big Fake Science are already telling the people who came down with Bell's Palsy after getting the Covid vaccine that it would have happened anyway.

That's what millions of parents whose kids get Autism following their vaccinations are told."
893,"@realDonaldTrump refused 100 million extra vaccinations @pfizer over the summer, then tried to sign an executive order that would force their hand anyway. OWS, funded 0% of the vaccination creation. But yea, definitely it’s @FoxNews that’s fake. @OANN https://t.co/1Q2Au2qvEp"
894,I just ran across a conspiracy tweet trying to make it look like vaccinations today were fake. They claim the caps were still on the syringes. This isn't going to stop until the GOP force Trump out.
895,"@JimByersTravel Since so many of them previously caught the fake disease, they have to take fake vaccinations to keep from contracting anything else imaginary and having to return to those imaginary hospitals."
896,"@IvankaTrump Why do we need vaccinations when the virus miraculously went away in April?? I thought your Dad said that the pandemic is all Fake News? I believe him, don't you???"
897,"Just because I do not believe in government mandates and mandatory vaccinations does not mean I’m some dumb ass conspiracy theorist. I have lost people I love to Covid, so please take your bullshit about how it’s fake somewhere else."
898,@Meidas_Kelly The Whitehouse vaccinations should be televised to debunk any fake news claims.
899,The old people being filmed having these vaccinations are missing a trick. Give us a fake choking gesture or pretend to keel over or something.
900,When your anti-vaccine covid-is-fake Trump supporter friend congratulates Trump for the first successful covid-19 vaccinations https://t.co/RDwnlmOWWP
901,@Meidas_Kelly Vaccinations for their fake virus
902,"@troika81100 @jackierah @guimanmins @PhilMatt @Trclrx @France36566648 @cparisidf @isabel75370 @Ange_ce_moi @BadPhil4 @fatimaxx @Valentin3524441 @GG_RMC Macron veut supprimer les RTT et certains jours fériés mais tu as lu ça sur quelle source,
quel média? Si c'est vrai c'est scandaleux mais je me méfie, bcp de fake news comme ces 2 premiers vaccinés Anglais qui seraient morts le lendemain de leurs vaccinations ça s'est avéré faux"
903,Damn they gone be selling fake vaccinations... interesting.
904,"@realDonaldTrump If this is a momentous occasion in history of vaccinations (for a fake pandemic), it makes me question whether any of the other earlier ""epidemics"" cured by vaxxes were legit."
905,"@realDonaldTrump you as well as any1 else that fraudulently represented misleading FAKE allegations against wearing a 😷! Vaccinations SHOULD be last for you especially leading all that B.S. nonsense! You urself exposed &amp; got millions INFECTED you should be last 1 to receive vaccination
If1@all?"
906,I hope Pfizer and Moderna also have fake vaccinations for the fake Trump virus... They can give it to the fake prez/White House first... I hope they named it the TRUTH Serum... https://t.co/mikfhgmJQl
907,"@th3j35t3r I thought it was a fake virus.  The kung flu, etc.  Now he's all about vaccinations.

His face needs to be on a box of eggos."
908,"BRKG: leadership of QANON urging membership: (a) boycott vote in 'fake GA election' (b) not to take 'fake vax' (c) never-ever mask and (d) stop eating any type of fruit and vegetables

...apparently 'real men' do not need vitamins or fiber or vaccinations"
909,"LIBERATE THE WHITE HOUSE!!!

No vaccinations for WH staffers! 

Covid is fake news/gonna disappear/not a big deal/nothing to be afraid of/is what it is, remebmber?"
910,"@realDonaldTrump it's a fake pandemic, everything will come out, EVERYTHING!The vaccinations are human experiments. mRNA vaccinations are human experiments. I don't think a good president like you would do that, you must mean something else."
911,"@thebr0keb0i Why should they be vaccinated against a virus they claimed was fake, wasn't deadly, would go away on its own, etc? Fuck that. They don't deserve vaccinations."
912,"@MDaware The vaccinations are fake, but are highly effective for fake viruses??  🤪"
913,I knew these lying pieces of shit would get the vaccine first. How many Trumps will get vaccinations while our families are still dying. FUCK these HOAk-FAKE NEWS lying pieces of shit! https://t.co/3BDJ3u7z1e
914,"If you are a person in a position of authority who called the coronavirus phony, fake, or a hoax (@GoodForCongress, as recently as yesterday) your irredeemable hide should be in the very last tranche of vaccinations."
915,Such BS..the ones saying covid19 is fake virus are now getting fake vaccinations? https://t.co/nJIDyTBi3F
916,"@anniekarni @maggieNYT I wonder if they are ""fake"" vaccinations?"
917,"Invasion Plan of the United States
Step one: Fake Pandemic used to steal the Presidential 
                Election
Step two: Give Vaccinations to All US military personnel
Step Three: Wait for 50-60% of the US military to fall ill
Step Four: Invade"
918,@SSG_PAIN He knows we won’t take his vaccinations so now he is trying to mess with our meat? Wtf wants fake meat? Bill gates 🖕🏻🖕🏻🖕🏻🖕🏻
919,@Gontse_GG He just spoke about fake vaccinations and white people they just bring lies
920,"There’s a lot of fake news. However, there are things older than all of us that should give clarity to our perspective about vaccinations. I hope your pastor or rabbi will discuss this with you, if they are familiar with it, and acknowledge the truth. https://t.co/IXcCeuVA0H"
921,@TomSav67 @o_rips Fake vaccinations Sadiq at it to kmt https://t.co/VXv1xt8XSt
922,@drdavidsamadi And a fake pandemic that with the socialist &amp; RINOs in control will never end. Next will be forced vaccinations &amp; internment labor camps. Covid should have been over with herd immunity if we just let this cold virus run it’s course. End of pandemic my ass. It is all lies. https://t.co/4Su3Ewwjh6
923,@Motivation724 #FakeVaccinations
924,"They’re starting vaccinations at Foyle Arena tomorrow, no call for me yet so I’m well gel. BTW does anyone have a spare key for the arena, a vaccinators uniform or can get their hands on a fake I/d. Asking for a friend🥸🕵️‍♀️ https://t.co/jttv2Gkco4"
925,Lol who got those fake vaccinations papers on deck? 👀
926,WILL POLITICIANS FAKE THEIR TELEVISED VACCINATIONS!? https://t.co/k1taI33OU9
927,I'm really just gonna started deleting people that are scared of this dam vaccine. I'm tired of these lame as theorists swaying the public with little to no evidence of fowl play for these vaccinations. I'm fr just tired 9f actually fake news
928,"Mary Cheh, ‘Fake Jew’, Censorship, Forced Vaccinations, Coronavirus and the Truth
https://t.co/aj4mp69O6H"
929,"@YardleyShooting @AnonymousSage1 Tell a lie vision, chemtrails, fluoride, gmo food, vaccinations, mainstream media distractions and fake news, satanic entertainment, satanic music, keeping people poor and sick.  Am I missing anything?"
930,"@BBCNews reports that millions are refusing the vaccinations when not that many have even been offered.
What motivates them to behave in this way. Fake news subsidised by the public."
931,makes me think of all the ppl who are for masks &amp; forced vaccinations bc they care ab protecting others but yet make horribly nasty remarks to anyone who doesn’t agree....true colors...2020 has been full of fake empathy from both our officials and fellow citizens https://t.co/XmWXTxdufO
932,@CTMelb @pm_fake @philiphill1982 @piersmorgan The point was about that you are fine with school vaccinations being mandatory but not work ones? If you believe that a vaccine to help end a world pandemic is bad then maybe you shouldn't be breeding.
933,I can see the fake vaccinations on sale now https://t.co/IQsgbA0lwz
934,"—  COVID vaccinations likely starting in just days in the US, but what's the deal with allergic reactions?

—  Election lawsuits coming from *fake* states

— Airbnb's IPO was a smash. Is it an overinflated bubble?

We explore all that and more on @Newsy Tonight starting at 7pmET https://t.co/GsB7bZ2xDm"
935,"@Pastor__West He should be returning with all this shit going on right? Forced vaccinations,food shortages, military trucks,fema camps,folks getting kicked out they houses on the 1st, fake alien invasions."
936,"@KamalaHarris @JoeBiden That’s means in 40 days Martial Law, Inhumane Laws, A Broken Constitution,Forced Poison Vaccinations, More Fake Flus &amp; Diseases ,Way More Hypocrisy of “discrimination with blacks”  &amp; #LGBTQ • Social Media BS up to Wazooo With this first Black VP Bull 💩 . What a fucked up 🌎"
937,@amtvmedia Vaccinations 💉 are coming! Great Reset! Digital currency! Social Credit scores! Climate Change! Green new deal! Fake meat! 2021 is going to be a hell of a fucking year! Rise of the Phoenix..Order out of chaos! Christians are going to get the shitty end of the stick! Weak souls https://t.co/jWfZlgFKFQ
938,@MycatLovesCons @mstone0954 @cspanwj @ceidotorg It makes since to corece people to taking something against their will? If a consumer is worried then shop online. I'm not taking a vaccine to make you feel confident. I predict a cottage industry of fake proof of vaccinations if they try to mandate this.
