,tweet
91,"Well played @GovRonDeSantis,  Some Florida counties are using Eventbrite to schedule vaccinations, so naturally scammers have started making fake Eventbrite sites and charging people for appointments.  https://t.co/4nxjZ1Zt99"
92,"@EWErickson Not a judgement on Trump's despicable behavior since Election Day?  
-Americans dying of Covid?  Fake News!
-Russians hacking?  Forget the evidence, it's Iran.
-Vaccinations stalling? Isn't my responsibility.
-Screwing up unemployment?

Get over yourself, Erick."
93,"@mfstern @JlryderA @RandPaul The right with fake crowds in DC, the left with fake vaccinations of hypocrites... it's sad to see so many people blatantly lying."
94,"@NCGOP @realDonaldTrump Trump had nothing to do with Pfizers vaccine.
Modern a took $1.5B to charge us more per dose.
Trump turned down an additional 100m doses from Pfizer.
Vaccinations are going horribly.

Wait I thought it was a fake virus that was going to go away after the election?"
95,"@sweeneyged Interesting about vaccination &amp; 70% masks use for victims.

Not positive for people who count on masks or vaccinations.

On the positive side.

WHO puts the fatality rate as 0.05% for under 70 year olds

Only 20% became infected on the Diamond Princess.

This is low risk."
96,"We keep ours life's revolving yet whilst I was sat waiting for a COVID test in a clinic with a line around the block. 
The TV going on about fake elections and vaccinations going wrong it really for a instant felt like I was living in the beginning of a bad end of world movie 🥺"
97,"@remittancegirl @GovRicketts Maybe some of that fake news should be put to good use, lets start a rumour where COVID can be transmitted through Nebraska meat because they are not giving vaccinations to their workers.

I'd soon think they will start vaccinating workers as soon as their profits take a hit."
98,"@questionsin2014 @fire_hollow @Wa_Sab_ @48thAve @stevesalaita It’s almost as if decades old deals with a corrupt fake government don’t relieve Israel of its Geneva Convention obligations, and supplying vaccinations based on ethnicity is naked apartheid."
99,@BadMedicalTakes Weird. I've had a few vaccinations in my day and wouldn't ya know it? No encephalitis. Weird. That must have been fake.
100,"@scottmelker Covid is a virus, it can never be undone.. Vaccinations are fake.. It's like getting a vaccination against AIDS..."
101,Une fake news des médias et journalistes démontée en 30 secondes #COVID19 #vaccinations la tête de la journaliste à mourir de rire 😄😄😄😄 https://t.co/n8atPOgJlQ
102,"@MichaelYeadon3 @simondolan @sreynolds196777 Covid is now endemic.

Vaccinations have never eliminated flu or colds, there is no rational reason to expect that they will eliminate covid.

Vaccination can reduce but not eliminate the covid risk.

Covid is a low risk to most people so we simply need to move on with life."
103,"Propagation de fake news H24 7/7 et ça dit être ""Journaliste"" finalement #Bouhafs représente parfaitement cette "" profession"" qui ne s'interdit rien et s'autorise partout #vaccinations https://t.co/KItQy0RRKL"
104,@mridum They'll just fake it like the live telecasts of vaccinations in US.
105,Police warn of fraudsters sending fake texts about Covid-19 vaccinations https://t.co/uWXeQHMDHK
106,Police warn of fraudsters sending fake texts about Covid-19 vaccinations https://t.co/4Oa1ib4ZqP
107,Police warn of fraudsters sending fake texts about Covid-19 vaccinations https://t.co/GJ77tN4QUI
108,"@JaybeeStewee @TheValuesVoter @mattersofmind And let's not forget that all 3 of those nations are probably pushing fake vaccination stories through FB, Parler, the Chans, etc, in an effort to keep US citizens from taking the vaccinations, or even trusting the medical authorities.

This is a cyberwar, and we're losing."
109,"@AviMayer @WillDevine10 2. The Palestinians have not said they don't want ""Israeli"" coordination with the vaccinations, which is why the Jerusalem Post does not mention the name of any Palestinian official. It's fake news from a rightist anti-Palestinian ""Israeli"" newspaper."
110,"@SebLecan @Crispalou @renaudpila @olivierveran Renseignez vous ils, qui ils , ça veux dire quoi manque de stock . avec les vaccinations en éhpads ( un fake donc ) , est-il si difficile de faire qques recherches ?"
111,"Fauci: Vaccinations are increasing in a 'glimmer of hope' https://t.co/kWoIhyBCBD #FoxNews 

sad to say this but anyone who thinks this is a fake pandemic should get the virus"
112,"@Dharma2X @Swamy39 @Rumm17913821 @Karma6X @nviswam @GurudathShettyK @Treasure1725 @colkt @ragusmg2 @RupamDu22916188 @Lutyensmafia @MrRao_RB @chitrapadhi @Shawshanko @naveen_42_ @Geethabhati @VarshaThacker @vishalnautamlal @GujjuMafia @NATRAJSHETTY @mm_0774 @8Y8ZQ @brahmavidvariya @ravi_enigma @SwamyBhakt @Bhaskarg77G @vijay2474 @REIyer4 @jagdishshetty @ArvindChaturved @MD_Nalapat ""4G/5G IS A SERIES OF CAREFULLY CHOSEN WEAPONIZED MICROWAVE AND MILLIMETER WAVE FREQUENCIES THAT WILL INDUCE ILLNESS THAT WILL BE BLAMED ON A FAKE VIRUS TO FACILITATE FORCED VACCINATIONS."" 

100% truth - the criminal medical cartel is hiding this from public."
113,"Numerous countries around the world have started rolling out #COVID19 vaccinations. Simultaneously, authorities are warning people to be aware of #fake vaccines! @INTERPOL_HQ @Europol @UNODC 

Read our updated statement: https://t.co/ksjhHwLSDR &amp; @dwnews↘️ https://t.co/hBBR54iibR"
114,"""Est-il vrai que les Allemands ont fait le choix d'utiliser tout de suite les doses prévues pour la seconde injection ?"" 
REPONSE:
Non , c'est une fake ...La preuve : Pour 500000 doses en stock, 238000 vaccinations. Confirmation dans le Spiegel.
Ainsi on tord le cou aux canards"
115,@BerwickJeff They’ll just have fake vaccinations like all the other ‘important people’ we’ve seen have them so far
116,"Fake news even from reliable sources.
EU may run out of vaccine shots IF vaccinations proceed quickly and no now shots are produced or ordered.
So far, first is NOT happening at most member states, and second IS VERY likely to happen on time. https://t.co/Hbd8LfWLst"
117,@toomanyfbombs The link is vaccinations and yes they like to spread Fake news and propaganda
118,"Why does the MSM continue to blame President Trump for the failures of the states in administering vaccinations? The states have thousands of vaccines sitting in freezers! 

News Flash: Trump doesn’t administer inoculations!  
The media = irresponsible fake news bumbling idiots!"
119,The government is out here giving fake vaccinations to people to try and convince us it’s ok to get the vaccine. Nope not me!
120,@Dragonzfli @KatieThinks___ @GovJanetMills I'm not fake nor a Maine outsider.  She sold us out and our individual liberties with the school-required vaccinations mandate!!
121,@CBCEdmonton what is happening with contact tracing and vaccinations in AB? I’m hearing from multiple retired nurses with 25+ years of experience that have answered the call to help in this effort and have not been hired or even contacted. Is it the pay scale?  Is it fake? https://t.co/qkzk65TISv
122,Getting certified for CPR &amp; vaccinations.. idk how I feel but I’m excited
123,@soozworld it’s unbelievable. I’m hoping it’s a fake site. Or we’re suddenly going to become good at speedy double vaccinations 🤞
124,"Like faux father #Trump, like fake son #DeSantis

I told y’all @GovRonDeSantis could NEVER competently implement the #COVID19 vaccinations.

It’s just 💯% #PassTheBuck because the program was designed to #fail . 

P.S. @POTUS @realDonaldTrump - the whole world is LAUGHING AT YOU"
125,"@Laflamme_Gus @jchianello first off, Ford's decision to lock Ottawa down was not at all based on the data that he (or anyone else) had at the time.

secondly, why does he deserve praise? numbers are ramping up despite his fake lockdown and the vaccinations are going very, very slowly."
126,"@Bob13793158 @drewdoesthings @HefalumpsnWuzls @Amoviet1 @kurog3c Vaccinations are safe, fake money boy."
127,"The fake pandemic won't ever end unless the testing stops. This should be clear to everyone. The ""vaccinations"" can only serve as an alibi for reducing testing."
128,"Mdrr 😅 bon.. Fake grossier, certes https://t.co/VyuHO4OPWi #vaccinations #vaccins"
129,This refers to illegal immigrants from Zimbabwe to South Africa. Zimbabwe has not even started vaccinations yet and already fake vaccines are coming in! https://t.co/rhvvdXZzEx
130,"@lester_hickling They need to be locked up in facilities where they are free not to wear masks or get vaccinations. Not allowed to spread their fake dangerous views on social media. 
Sign a form to say they want no treatment if they acquire the hoax virus."
131,"@Bladesvoice No problem there, but are we comparing what we are doing versus what other nations are doing?  If &lt;18 is not ever going to receive vaccinations, why are we stopping kids from playing?  Other nations aren’t."
132,Fake Eventbrite account charging residents for COVID vaccinations in Pasco and Pinellas counties https://t.co/U99XkDrJsA
133,"@LaurenPelley 42,419 #COVID19 vaccinations complete in Ontario as of Dec 3rd?

Why is #Durham MPP @lparkpc LYING using FAKE figure/date?

#onpoli #DougFord #PCPO #COVID19Ontario #Clarington #Courtice #Bowmanville #Oshawa #Scugog #NoAccountability #FireLindseyPark #NotForThePeople https://t.co/TdlHREl4nq"
134,Fake account created to charge residents for COVID vaccinations in Pasco and Pinellas counties https://t.co/pH83BHY4Wk
135,"@fitz_meagan 42,419 #COVID19 vaccinations completed in Ontario as of Dec 3rd?

Why is #Durham MPP @lparkpc LYING using FAKE figure/date?

#onpoli #DougFord #PCPO #COVID19Ontario #Clarington #Courtice #Bowmanville #Oshawa #Scugog #NoAccountability #FireLindseyPark #NotForThePeople https://t.co/s8wuj1lHI2"
136,"@ColinDMello 42,419 #COVID19 vaccinations completed in Ontario as of Dec 3rd?

Why is #Durham MPP @lparkpc LYING using FAKE figure/date?

#onpoli #DougFord #PCPO #COVID19Ontario #Clarington #Courtice #Bowmanville #Oshawa #Scugog #NoAccountability #FireLindseyPark #NotForThePeople https://t.co/nkNUQ5zliL"
137,"@DolyBegum 42,419 #COVID19 vaccinations complete in Ontario as of Dec 3rd?

Why is #Durham MPP @lparkpc LYING using FAKE figures &amp; date?

#onpoli #DougFord #PCPO #COVID19Ontario #Clarington #Courtice #Bowmanville #Oshawa #Scugog #NoAccountability #FireLindseyPark #NotForThePeople https://t.co/rl13t8yr8b"
138,"I'd have more respect for Boris Johnson if he dropped his fake bumbling idiot persona and adopted the one displayed in this speech instead.

#Covid19UK #C4News #level5 #COVID19 #nationallockdown #vaccinations #lockdown"
139,"42,419 #COVID19 vaccinations completed in Ontario as of Dec 3rd??

Why is #Durham MPP @lparkpc LYING using FAKE figures &amp; dates?

#onpoli #DougFord #PCPO #COVID19Ontario #Clarington #Courtice #Bowmanville #Oshawa #Scugog #NoAccountability #FireLindseyPark #NotForThePeople https://t.co/kNunTqFIuD"
